User,Text
@nguoitudovn,"Set diễn quá hay nhưng sao mỗi lần mình nghe Nam nói tục mình lại ko thích nhỉ, lâu lâu 1-2 từ cần thiết trong 1set thì ổn chứ dùng nhiều quá kiểu thô á, có ai giống mình ko hay mình già rồi 😅😅😅"
@baochau3063,Coi ông Nam là đỉnh nhất
@hoangphan5196,Ko biết Nam có hay xem tham khảo dv hài độc thoại Max Amini ko mà cách truyền đạt mảng miếng cả cảm xúc cũng như cách trêu khán giả hơi giống ổng nhưng lại vẫn giữ đc màu riêng của Nam. Set này hay ko phải bàn kkkkk
@ThảoNguyễn-w1i3b,"Thích Sài Gòn Tếu qw, mong ra nhiều video hơn ạ"
@datmit99,"Đứa nàoooo, Đứa nàoooooooooo.... Xuất xuất, hoá đơn.... =)) cười chải nước miếng"
@HaMy-TSH2,Hài mà hết nhanh quá thấy tiếc lun á
@Annguyen08titinni,chưa bh thất vọng về mảng miếng của Nam
@minlously,500K views oiiii 🎉 5M views leggooooo 🔥🔥🔥🔥🔥
@nghiatran5676,Phong độ còn nhưng set này Nam hơi ồn. Tiết chế lại tí😊
@PhúckỳVân-e4l,Có tóc là đc. Ác vừa. 😂😂😂
@Andy.TuanDung03,"Lên level quá anh Nam,xem anh Nam ngồi cười rồi sặc cả cục đòmmmm raaa ngoàiiiii"
@siumi8889,"khúc cuối cười mệt, vì đúng tâm li, mà còn hài chúa nửa"
@macan8524,"A Long đã đánh giá Nam 5 Sao 😅. Ok, hôm nay bạn diễn hài khá hài."
@huyhoangwistock1991,"Đẳng cấp khác biệt với phần còn lại. Không uổng công mong chờ, đợi ngày các bạn về HN nhé !"
@clashofclansvina3402,Mướn người cười hay ghê ta. Mày nói chuyện ý nghĩa ghê ta.
@phamacloc7284,Hơ hơ hơ hơ xuất xuất xuất … hoá đơn luôn cho anh em ơi 😂😂😂
@dungtuan,dạo này tập gym nên thấy gồ ghề
@huynhmy7096,Xuất xuất hóa đơn luôn em êi😂
@datbui3630,Dân chơi áo khoát mà nay ko thấy mặc áo khoát
@Camnga-q1c,Siêu đỉnh xịn xò nhịp điệu rất cuốn thật sự
@datle1402,Thất vọng với set lần này của PN. Đùa giỡn quá đà thành ra vô duyên. Lấy tục tĩu ra làm trò cười chứ không sâu sắc và thông minh như nhiều lần trước.
@Henrixsound,Tiểu phẩm lần này hay nha 👌
@TraderNhaNgheVlog,"Phong Lê hài đậm chất hơn, dù bựa hơn"
@HátThảGaPlus,"cười điên, xem ông ni mới cười được mấy người còn lại cười không nỗi luôn trời"
@havanaquan6086,Đã quá nam ơi cười méo mẹ hàm rồi
@DungTran-tu4kt,Sao có duyên dữ vậy chời :D
@DungTran-lv3lr,nay ảnh ồn ào 😆
@nguyenhungvi2328,quá nhiều hits
@HUỲNHMINHPHÚC-b2l,Là do lên youtube bị cut hay show bạn diễn ngắn thật vậy 😢 muốn đi coi mà nghĩ thấy bạn diễn ngắn quá cũng tiếc
@TrườngTrần-p8d7k,Hay quá a Nam ơi❤. Chúc team mình thật nhiều sức khoẻ và càng ngày phát triển hơn nữa❤.yêu sg tếu❤
@tuntra020,Ảo lòi thế
@thanhhangnguyenduc6528,Sau set này của Phương Nam mình quyết định không ủng hộ SG Tếu nữa. Vừa đẻ mổ về xem xong bung hết cả chỉ =)))
@thadyleng1808,Tội anh Long thật sự mà mắc cười quá :)))
@h4sr24,Khứa này hài
@vănđến-x8x,ĐỨA NÀOOOO lm tui cười bể bụng thiệt luôn
@nguyentrinhthetam1969,"Hài độc thoại, dễ ợt"
@Bilongvadamme,"Phương nam có thể nói đây là buổi biểu diễn coi đã nhất trong các buổi diễn từ trước cho đến nay , cố lên em nhé anh trong chờ phần diễn tiếp theo của em sẽ tốt và hay hơn như thế"
@hngthammm,"dạo này anh Nam đẹp trai hẳn ra luôn chài, xem video của anh Nam k cười cũng uổng lắm"
@DatNguyenQuang-m7d,Ổng diễn một hồi mà có người lên cơn động kinh luôn
@hienthuong9825,"Xuất sắc luôn , xem cười từ đầu tới cuối luôn. Mong có cơ hội đc xem set của Nam diễn 1 lần ❤"
@ngocpham2326,"Haha, thấy hơi hướng nhẹ của Matt Rife trong này, roast người khác siêu hài nma cũng khéo. Keep it up bro❤"
@ydctttytumt1457,"Bạn này quá duyên, có nét của Trấn Thành, thông minh, nhạy bén, nhưng lại quá hợp lý"
@cookiesfamily93,Cười sặc sụa từ đầu tới cuối
@ceciliale1952,This guy is quite good....I had a good time laughing....
@NhậtMinh-g2h1d,a nam vs katt william ai hon
@vuhuy4609,hay mà nói nhanh qá
@lannadao,"Coi chưa đã nữa Tếu ơi, Nam có thể nào kéo cái miếng dài thêm chút để cười cho đã đc k, chứ đang cười cái kết ngang 😂"
@tuananh-ci7si,"Má cái thằng , 2h đêm cười đái ra quần"
@Quachtoan-k4k,Xem thích ngọt ngào cách diễn đạt cực cuốn đúng không !!!
@kyonguyen6557,Luôn ủng hộ Phương Nam nhé
@kimthungo,Anh Nam đỉnh quáaaaaaa x 1000000000 x 100000 bao giờ Sài Gòn Tếu ra hn típ dị 😢
@phuocnguyen5313,"cười muốn rụng hàm, Phương Nam tài năng thực sự"
@nhokucuong8535,tập này zui mà ít quá 😂 dài hơn đi 😂
@phuongkhanhrosalinenguyen6460,"Khuya rồi mà coi set tập này của anh Nam ta nói cười khùng 🤣🤣🤣. Biết Sài Gòn Tếu lâu rồi nhưng mà đến bây giờ vẫn quen coi hài của anh Nam và 1 mình anh Nam, quen rồi mà công nhận ổng diễn càng lên tay. Coi đến đâu là cười đến đó."
@btk4707,Set của Nam vẫn luôn luôn rất là tự nhiên . Mong chờ 1 ngày có cơ hội được trực tiếp xem set của Nam 1 lần trong đời <3
@ntnchanel15,"""mà cái khổ của trai thẳng là khi nói tao là là trai thẳng nó rất gay"",""nhưng khổ 1 cái nữa là tao là gay nhưng nó rất thật""
Nghe xong đoạn này cười phun cơm luôn 🤣"
@monokeliest3572,Dùng triệt để anh đầu trọc luôn hay thật =)) mỗi lần đá qua ảnh mình cười quá tr
@hains92,Nghe là thấy phước bro nó mỏng hơn tờ A4 lun =))
@firefox3173,9:57 nhỏ cười hay mếu vậy? 😅
@VanQuanKenh,.
@HọcHỏivàChiaSẻ,11:31 có nhóm nhạc phòng trà đi xem SaiGon Tếu
@uyenphanhatholangtang596,"Có ai như tui ko, mới 3 phút mà cười mệt phải dừng lại thở cái 😂"
@HoaLe-kb6nf,Phương Nam đúng là một cái gì đó 😂
@lethao7761,đỉnh! đột phá! quá xuất sắc anh Nam ơi
@myblue11,Không lẽ bé Trợ lý của Nam tên Trang
@QuangVo-VQ,Phương Nam đúng là ở đẳng cắp khác biệt
@Commander730,"mé tập này Phương Nam đỉnh, cười từ đầu tới cuối như coi show nc ngoài.
Mình ko có ý đánh giá thấp, chỉ là thấy vui vì hài độc thoại VN lên level quá =))"
@ongnguyen4625,"mình xem rất nhiều set của Nam và đều thích nhưng set này mình ko thích nhất.Vì tất cả các set khác của bạn đều duyên dáng và ko động chạm đến người khác,còn set này lại gây cười quá nhiều bằng việc mang ngoại hình của 1 khán giả ra đùa cợt- nó là 1 kiểu gây cười khá phổ thông và nói thật là khá thô + phản cảm.Mang người khác ra đùa chắc là vui,may ông anh vui tính ko cọc đấy ko thì chắc họ bỏ về rồi."
@phamminh9929,Cứ Nam là vô xem. Còn của mấy nữ thì thấm ko nổi
@PhúRocket40,"show này máu quá, tui thích như vậy"
@burberryliquis717,"dạo nay pnam level up quá, muốn cưới pnam luôn í"
@trinhthanh9576,Khán giả đang cười mà kêu stop :)))) ko có hỗn nha
@vngaming8315,Đúng là đàn ông có khác anh này sử dụng hết 2 đầu trên lẫn đầu dưới để tư duy hài nè 😂😂❤❤
@vuongnguyenvan6431,Sắp làm gym chúa rồi nhìn hơi đô r đó
@ThaiNguyenDang-fe9hq,=))))))))
@gaunaubeobeo,"Trời ơi tui xem cười cười rung bàn luôn, cảm ơn saigonteu nhaaa❤❤❤"
@phuc86duongminh79,Lần 5 coi rồi vẫn cười❤❤❤
@ManhLv-r8n,"Anh ơi body shaming không vui nha anh!! Khán giả đó anh!!🙂‍↔️
Cho dù nó không phải ý xấu nhưng người bị trêu không vui nha"
@10.othaihoang3,"Set này quá xuất sắc luôn, dg ăn mà cười bể bụng"
@Toikhongcoytuonggi,em xuat r
@huuphuoc7614,Để ý mấy ông tên Long đa số ông nào cũng đầu trọc 😂😂
@AnhBao-z8g9y,Ông Nam diễn mắc cười vcl coi tập nào cũng cười muốn xỉu
@GailH-x8k,"mọi người nên thử đi xem nhóm diễn trực tiếp 1 lần. Hay hơn coi phát lại trên youtube nhiều. 
Nếu mọi ng thấy clip này vui thì xem ngoài phải vui gấp đôi. Thề"
@quandum,Nam kỳ này mình thấy cứ gồng gồng quyết tâm chứng minh nam tính thì phải...
@angle5421,hài nha
@syanh5277,Quá hay luôn Nam
@camvannguyen8676,bạn gái của Phương Nam chắc cười suốt ngày quá :))))
@alden.502,"Nay Nam cứ thích var var ý nhỉ, nghe hài cực :))"
@TrinhMiuMi,T chỉ thix xem Phương Nam ❤❤❤
@HoaK-y5z,Kkk
@ngthgiamy6374,Kh ấy mình ra 1 tập cỡ 48h coi mới đã sốp ơi😂
@nhanne1427,A Nam nay đẹp troai thế ❤❤🎉🎉🎉
@kumatojiduong4538,"tính ra từ lúc ổng lên sân khấu là đã cười rồi, kiểu nhìn vô ổng là tự nhiên cái miệng nó nhếch lên rồi cười, thêm vài miếng tự nhiên nữa là cười thành tiếng lun r á, phải nói là a Nam ảnh hợp với hài độc thoại cực kì 😆"
@dnmtam,"Coi Saigon Tếu mình chỉ thích Phương Nam v Uy Lê, diễn là phải có duyên mới cười được, ko phải cứ cố tình quăng ngôn ngữ tục là có thể cười được. Nhất là nữ mà quăng miếng tục quá đâm ra …lố."
@linhtuti3144,Đỉnh! Clip hay nhất của Nam luôn! Nét quáaaa!!
@ngocvan4099,12:13  khứa áo đen giãy dữ dza
@inginglazy118,Nam dạo này tập gym nhìn mlem nhỉ 🌝
@thuhapham6792,đáng yêu quá luôn
@khangkhang1016,Matt rife Vietnammmmmmm
@ChuongNguyen-xy3rp,"""đứa nàoooooo?"""
@trale8631,Phương Nam là người duy nhất làm mình tua đi tua lại khúc cuối xong cười như khùng =))
@huxufamily,Set này vui quãi =))
@khanhmiennamofficial1204,Ê càng ngày ổng càng khéo luôn á :)))
@Parkzex.V,Tới nay mới xem đc set diễn này thật sự đỉnh cao
@Gumball_N18,Kẻ thù của hội người đầu trọc😂😂😂
@Gumball_N18,"Mình sống trong thời đại phải đi chứng minh là bản thân thẳng, dù nó là sự thật, trong khi ngta mặc định mình gay😅😅😅Lăng kính xã hội h khó nói thật😂😂"
@NguyenThang-os9do,Chống chỉ định xem khi đang ăn
@trishlam9571,Đang đợi có người yêu để đi coi Sài Gòn tếu :)))
@buudieptruong7060,"Set này của anh Nam vẫn hay, vẫn vui, anh đang level up theo hướng thế giới. Nhưng mà chắc do e thích phiên bản Nam cũ hơn, so với các set ""bến Phú Định"", ""Con nít"", ""Đất rừng"" thì set này thiếu cái chất riêng của anh. Có lẽ là do anh thoải mái tự nhiên quá nên ít thấy được phần công phu của anh, lần này tình huống cười mang tính ứng biến bộc phát nhiều nên phần delivery cũng không bằng mấy set trước (hoặc do set này bị cắt). Mấy set trước dù coi lại mấy lần, biết trước miếng mà vẫn mắc cười"
@giaphudailyvlog279,dở xàm
@DinhThanhTrac,Anh Nam diễn set này hay quá
@christinenguyen2410,"Nay anh Nam hết bận áo khoác rùi. Phong thái diễn cũng thoải mái hơn, style rất nước ngoài nhe 👏🏻"
@ladybug72103,Trên cả tuyệt vời nha Nam❤
@thuynganle9734,sao bữa nai anh đẹp zợ Phương Nammmmmm
@bgem.entertainment,ảnh vẫn xịn 😆
@18lekimngan69,"ê thật sự phải nói coi set này nó nhẹ nhàng mà relax, dễ hiểu mà dễ dính miếng cực kì. sau một ngày mệt mỏi rồi đôi khi đầu óc kh muốn tập trung quá nhiều thứ thì set này nó lại hợp lí đến lại lun á"
@KhanhKhanh-i9g,Đợi lâu lắm mới có clip anh Nam
@Rilcf,Quá duyên dáng haha😂
@nguyenthanhthuy6915,Càng ngày càng thích PN 👍
@vanngo1827,"Long không lông, cừi mún quặn ruột lun quá"
@anghanhvo8633,ghẹo miết ông anh đầu đinh ổng bay lên sân khấu luôn 😂😂😂
@seaturning_blue,má hài ná thở tr ơi=))))
@bangphamhuy7930,"Xem tập này mà cười từ đầu đến cuối, đang ăn cơm mà đau dạ dày luôn"
@nhatminhnguyen6092,xuất xuất xuất ... xuất hóa đơn cho a e ơi
@datmit99,"ko uổng công chờ đợi, anh Nam tương tác với khán giả và làm chủ sân khấu quá đỉnh. Chị Huyền Khanh khúc cuối ra chào khán giả xinh gái quá"
@nguyenanh3884,"Mình khá chắc là khán giả thích PN ở cái cách kể chuyện, cái vụ ồn nó đang hơi không hợp lắm"
@ienchinhquoc4333,"thấy ghẹo a không có tóc không có dui nha, bị kém duyên â"
@quocviethuynh5582,mong lần sau Phương Nam diễn 30p
@nguyenphat9744,"Nếu mà ai đem xem trực tiếp set diễn thì 8:10 a Nam joke câu siêu mat day😂😂😂 ""tưởng anh tên lộc ,lộc đầu trồn"""
@TheWhiteAllTheTime,Tôi cười chếc  Đứaaaa Nàooooo
@nguyenchi3383,Anh Nam mãi đỉnh thở thoi cũng đủ làm ngta cười
@thuho3146,Tuyệt vời
@quocdinh500,A yêu  e quá phương  nam ơi 😂😂
@leduchuy2103,Tính ra set tương tác nhiều với khán giả như vậy nó tự nhiên và vui ghê chứ. Thenkiu Saigon Tếu rất nhiều!!!
@quangminhle-t4x,hay
@NguyễnTuấnKiệt-g5c,“Rõ ràng mọi người có công nhận Phương Nam nhưng rất Trấn Thành ko”=)))
@hnam2510.,anh Nam dạo này có ăn tập hay sao nhìn đô đẹp phết
@Saxinh3110,Luôn luôn thích Hài Độc Thoại của Phương Nam 😍
@vinhduong4863,Có bạn nữ nào confirm giúp mình là có thật là cảm xúc như anh Nam vậy bạn nữ thích k vậy
@TríPhạm-j6w,Đang uống trà sữa mà nghe đến khúc đứaaaaaa nàooooooo mém tí nghẹn cục chân châu. Đúng là a Phương Nam ko bao h làm tôi thất vọng
@vuhieu7958,"từ "" Rất đừng Phương Nam"" giờ thành "" Chất phừng phừng Phương Nam "" luôn rồi , Khác Kevin mỗi cái màu da :D"
@loctran-lj2zu,Quá hay a ơi ❤❤❤
@Chaos672,Respect cho a Long ❤❤❤
@39Gangzzz.Midside,Vibe diễn của Phương Nam luôn là một cái gì đó nó đơn giản dễ hiểu và chạm nhanh được tới cảm xúc của người coi 🫶🫶🫶
@nio5984,nay ổng đi gym bắt đầu có tác dụng hen =)) đô ác
@viisme.07,s nhìn giống HTH z trời =)))
@by9802,❤❤❤❤❤
@thienkimtruong601,aađuu VUÝP
@leschantsdetheslise.l,vô duyên vãi
@KimHungNguyen92,Clip này không đã nư bằng những clip trước
@ChiếnĐặng-e3d,❤
@ChiếnĐặng-e3d,❤
@vinhmai763,Đợi mỗi ông nam
@daule7970,Đã quá 🤌🤌🤌
@youngpeter3588,adu idol Phuong Nam nay nhin` healthy va` balance v
@huuluan5247,.
@phuocmyphambui4138,phương nam mãi đỉnh
@ngatruong5720,"Duyên dáng cực kỳ, ngôn ngữ cơ thể của anh Nam điêu luyện thật chứ 😂😂😂"
@thaophamthithu7732,Những ng hói thường có SLC =]]]]]] vì hóc môn mạnh hơn tes nên bị rụng tóc nhưng lông vùng khác mọc nhiều 🤣
@CallMeMrDee08,12:13 cái bà áo đen đeo kính giữa khung hình. Hình như bã xuất thiệt đó mấy ông à.
@pxq2512,"Tập này vui nè, duyên lắm"
@anhvungo7144,A nam hài quá😅😅❤
@thaiquang2207,"""đứa nafooooooo"""
@lasa_usuk,mé phương nam chưa bao giờ làm chúng ta thất vọng cười cảm giác như cả cái nhà tao rung chuyển =))))))
@DũngDubai289,Có duyên á
@BoPo-v6n,Tốn 180k khách sạn đợi tắm coi cười tắt n*ng đi về luôn mà😂
@phattan3857,nghe qua kiểu hắc xì nhạc rap chưa
@onghuynh9889,Tôi thích Sài Gòn tếu ❤❤❤
@lunshyk,Rồi cười chỗ nào
@CBKRapper,Cảm ơn Nam. Đợi mãi mới có video. Làm buổi trưa ngồi cười như ngáo.
@beerc,Ê cái miếng qh vs mẹ nó kì nha.
@Tirasuduhi,fan ông Nam zòi. Thấy là phải bấm vô xem á 😁
@hieujay420,"Đỉnh vc,thề 🙏"
@ronbytuan,Xuất xuất xuất... xuất sắc 👏👏
@ĐạiTrần-j9f,Cười sặc luôn rồi
@lekien8816,Nam ơi là Nam....má hay dữ zị chời
@leehung-e9h,Thú vị đấy
@Nguyen-b5e,Vừa hay vừa hài kkk
@H_cien_H,"Điểm mạnh của P.Nam là ứng xự tình huống một cách tự nhiên, điều làm nam khác biệt so với phần còn lại"
@yentrantran8643,"Ra thấy bộ đồ là nghi nghi rồi, quất mấy cú cảm xúc quá cảm xúc luôn"
@bovlog7340,"Ý là đợi nhiều khi 1 tháng mới được thấy Nam á, nên là diễn hơn 12 phút được không SGT ơi"
@BíchLy-c3v,Xuất sắc
@QuanLe-SaiKey1306,Xuất xuất xuất… sắc qua a zai 😂
@bangsuong1199,màn comeback cực choáy
@bangsuong1199,màn comeback cực choáy
@minhnguyetha3447,Phương Nam càng ngày càng glow up nha. Đi tập xong ngoại hình tỏa sáng hơn. Với khả năng làm chủ sân khấu cũng tốt hơn
@HàMy-x7m9o,Nam level up quá rõ nét luôn á trời
@HoàngThôngAK,PN vẫn cháy như thế. Mặn mòi. Đã.
@tuannho202,anh nam nói lên tiếng lòng của anh kiaaa làm khán giả
@MinhNguyễn-f8g,Cười tí phọt cả cơm ra ngoài
@camhongluu4189,The SaiGoat tếu is here!
@nguyentrongtin1,"Hay và cuốn quá, em nhận thêm show các cty về truyền cảm hứng là quá tuyệt"
@hoangdung_2507,Đỉnh Nam ơi 🎉🎉🎉
@nguyentam4712,Hên anh Nam nói Long ko có lông chứ ổng quăng miếng do a thiếu dấu ^ nên mới vậy chắc cười điên 😂
@miathanhngoc,qua giờ coi chục lần ùi á =))))) sắp thuộc thoại luôn rùi
@MeannMeann,"Đỉnh vl, tự nhiên đến mức t tưởng đây là một set ngẫu hứng kh có cbi trước luôn á"
@khanhtoantruong388,Rất tiến bộ. Chúc mừng Nam
@duongpham2972,quả xuất xuất xuất hóa đơn đúng chịu :)))
@NamTran-jl2ph,T k bao h đi xem nhóm này vì t toàn xem trên ytb 😂😂
@quangbao29,"khúc Nam dí anh kia làm mình thấy cái vibe Matt Rife đâu đây kkk nay Nam đổi cách tiếp xúc với khán giả và điều khiển sân khấu, thành công rồi đó :3"
@quantopp339,"a Nam "" DEO KINH "" vẫn là đẹp trai và có duyên nhứt !!
A Nam dạo này hơi "" phúc hậu "" nên cần giảm bớt nha a !!"
@msang1278,Thứ cản tao đến với Sài gòn tếu là giá vé 😭😭😭😭
@phuonganhlengoc3714,Troi oi phương nam kết show quá đã quá xuất sắc á á
@ngoccuabien6885,Ngoại hình Nam nay nhìn thay đổi nhiều nè
@tieuyen1288,Cười tét rún
@TomVondavibe,Nam dạo này tập tạ đô ghê 🎉
@Nhimnhim3110,Ủa PN kg còn mặc áo khoát nữa 🤪
@helloevy9533,Chời ơi cái set này nó keooooo! Đó giờ không comment mà nay phải vào khen luôn á! Đỉnh quá anh Namm!
@phuocloinguyen7470,....
@A-NguyenThanhTruc-di3tn,❤❤❤😂😂😂
@HuaNgocMy,Set này diễn hay hơn hẵng
@hominhphuc199x,Đúng duyên dáng.
@ThienTran-ew9zq,Chưa bao giờ thất vọng vs  a Nam
@phatlttv,Bé trợ lý hắt hơi kiểu thẹn thùng e thẹn đồ đó
@ucohuu2226,level up nhaaaa
@phuongnguyen-nb6fz,"Tự nhiên coi lần 2 lúc 4h sáng , cười quá cười chồng thức chửi nguu người😢"
@Sun-bn6zu,"Cái set này đỉnk thật, k cần đao to búa lớn, chỉ toàn những miếng rất đơn giản nhưng cả khán phòng nghiêng ngả luôn 🤣🤣"
@bp4ever936,"sao cả cái group mỗi ông Nam diễn hài, mấy người kia nhạt thiệt sự. Phương Nam nhìn rõ thấy sự đổi mới mình cách thức truyền đạt duyên dáng, sao mấy người trong nhóm ko học tập dc vậy. trước t subcribe kênh này vì Phương Nam, giờ t đã unsubcribe vì đợi quá lâu mới thấy ông Nam xuất hiện."
@maskiez,Nam đã dần chuyển qua crowd work rồi ta. Tuyệt vời luôn Nam ơi.
@lavaparis,"Xuất sắc Nam ơi! Lần đầu tiên chị xem set này của em nhiều lần ko thấy chán mà lần nào cũng cười hết, quá dễ thương và duyên dáng."
@longhai6341,"Mê ông Nam này ghê, nhưng mà em thẳng nha kkkk"
@mjnhtrj9999,"coi mà cứ sợ hết ko á trời, set này vjp thật sự, quá đỉnhhhh"
@HoangLinhNguyen-e5h,Nhìn giống hiếu thứ nhị rồi đấy
@KhoaNguyen-dg6yp,Bản miễn phí đã hết hạn 😢 vui lòng mua vé đi xem để trải nghiệm premium
@phi8076,Nam lần này khác thực sự
@coffynguyen6894,t mà là ô đầu trọc t bỏ về lâu r😤
@LicNguyen91,🤣🤣🤣🤣🤣🤣🙏🙏🙏
@dinhtraipham5861,Set này thật sự nặng đô hơn nhiều set trước 😂😂
@phucuongnguyen5841,chờ set diễn của Nam suốt nma muốn ổng đầu tư nội dung hơn chứ ko chỉ đơn giản là kể chuyện
@GiaManB2108,Ông Nam có chuyện vui hay sao mà diễn set này thoải mái vui vãiiii
@wind.anhquoc2853,"Ông này xem từ thời ở Sg 2021 đến bây giờ vẫn còn hay, tuyệt đỉnh truyền năng lượng quá ❤"
@bachcoi1276,XD cười gần chết
@taidoa7954,Coi xong sái luôn cái quai hàm. Nó đau giờ không ngủ được luôn
@HưngNguyễnthành-i1n,má bể bụng
@uyenphuongphamngoc9804,Tự nhiên nay thấy anh Nam nhìn như anh Hiếu Thứ Hai bị phù :)))) nhưng mà level lên nhe anh
@NGuyenCUong-f3y,Kevin Hart việt hoá hã SGT =))
@minhtran-om7lm,anh nam kể chuyện cười 1 nhìn anh lòng cười 10
@nghilee2863,"Lâu rồi mới thấy anh Nam diễn lại, nhưng phải công nhận là level cao hơn trước rồi, diễn duyên quá trời 😂"
@meolua,Anh Long hiền lành dễ thương mà đẹp trai manly thiệc. Nam diễn như ko diễn❤
@Sieu_Cu_Dem,Tiết mục xs...quá cảm xúc😅
@B2805-q9i,"Diễn như này tốn khán giả quá, cười bể bụng ngủm hết rồi😂😂"
@kHIO67,Nam mãi đỉnh❤❤😊
@NhanNguyen-nu5yf,"Có nét của Max Amini, rất vui. Tks Nam, tks SGT  ❤"
@namx_uan,Đỉnh cao thật sự luôn đấy!!! replay bao nhiêu lần vẫn không chán:)))
@khoikhonkheo6372,Cũng phải lâu lắm r mới thấy a Nam diễn hài độc thoại. A Nam vẫn duyên dáng và hài hước nha.
@catherinedo8988,"Ngày xưa khi coi set bao cao su, phà em ở đâu đấy với câu chuyện chú xe ôm mà cười mún ná thở…. 4 set gần đây thấy có vẻ bị nhạt dần.
Tuy cái này b có năng lượng hơn nhưng k thấy cái hài như trc kia nữa"
@NganNguyen-ip2ee,Dạo này đẹp trai quá ba
@luyentapieuphoi2190,Đúng là set này ổng quá năng lượng
@nghitran4357,Ông Nam nói đúng tâm lý t hay đi gội đầu dưỡng sinh rồi ngủ quên. Xong thức dậy trong trạng thái hoài nghi nhân sinh là ngta có làm đủ bước cho mình thiệt hong 😂😂
@Nhat-299,Diễn hay thật đấy xem k nhịn đc cười 😂
@DongDong-v9e,Xem clip trăm lần vẫn thấy em gay Nam à
@hanmanh-u7b,"Hài vch! ""Quá Chuẩn luôn!"""
@ViệtNamĐoànKết-F-E-B-E-T,ĐÀN ÔNG SAO ZẠ? ĐÀN BÀ SAO ĐÂU! – Hài Độc Thoại Phương Nam Saigon Tếu Cười Xỉu
@phongai1553,Haha sao tui xem ông Nam 12' mà cứ ngỡ có 2' vậy 😂😂😂
@laminh2096,"Thích Nam quá bây ơi. Set này ảnh bảnh mà ảnh đỉnh, tua lại coi lần 3 vẫn cười chảy nước mắt"
@haiduongtran8227,Xem hài của Phương Nam sảng khoái thật <3 bao nhiu stress bay hết
@QuocTrieu_Travis,Lần đầu mình bật cười khi xem Sài Gòn Tếu. Mấy lần trước cũng buồn cười nhưng mình cố nhịn.
@truchobolero8376,Ước gì con Nhi hết led yêu lại cu Nam
@QUANGDAO...,"Cười khờ luôn, Nam càng ngày càng đẳng cấp và mình xem đến đâu hiểu đến đó nên thích xem Nam hơn mấy ac kia. Tập này Nam lại bước lên tầm cao mới rồi, hy vong có dịp về VN sẽ đi xem trực tiếp.kkk 🎉🎉🎉"
@QuocTrieu_Travis,oo
@bemixnhac,"Thật sự lần nào xem cũng cười nghiêng ngả,mong team giữ gìn sức khỏe và mãi gắn bó với nghề ❤❤❤"
@tgt12v,Khúc triệt lông đầu t cười phụt nước miếng 😂
@nhnm1078,Sao nay thấy Nam múp dữ vậy. Múp đột xuất :))
@thongnguyenvan4370,Quá đỉnh🎉
@viethang2991,mong sài gòn tếu đặc biệt là ah Nam ra Đà Nẵng diễn ạ
@leesugar5651,"Nó bình dị nó thực tế mà nó gần gũi, phần trình diễn quá hay đi vào lòng người"
@GiangNguyễn-q9k,set này e cười dc 12 phút 54 s
@Khoa.96,Có tui ở đó chắc tui đứng lên vỗ tay luôn á chời😊❤
@GiaHanNguyenNgoc-b5e4t,Đã tai nhất là nghe Saigon tếu video anh Nam diễn là lại Viral❤ Rất ủng hộ yêu mến anh. Nhưng mà anh video ngắn quá😂 Xem chưa có đã
@Api0061,"Nay nhìn đô mà đẹp zai v :)))
🌝🌝🌝"
@GoldxDucle,Mé cái đoạn cuối cười á thở luôn 😂
@minhxu777,"Nam level up nhìu quá, rất bất ngờ luôn. Quoocs tees, có nét của Matt Rife🎉❤"
@MisGlamorous,Má hài thì thôi nhé
@thanhnguyenle1197,HÀI QUÁ !
@wibu_hoang2254,1:25 “đau bụng quá”=)
@phucm.t.1851,Nam nét quá
@mouriyoshino9679,anh Nam ngày càng duyên 🤣🤣🤣
@kimkhanh-s4h,11:09 nghe ảnh hét như vừa bị ny hỏi:''nếu mẹ anh và em rơi xuống nước thì anh sẽ cứu ai?''vậy đóa^^
@halvo3540,Ông Nam dạo này có đi tập gym à 😊
@ThanhBruhh,Đoạn hắt xì trông giống Mcuong vãi :))
@Sjin2003kkkk,"Nay cảm giác ko hài như mấy video khác, thấy nặng nề sao á"
@JennyNguyen204,diễn hay dã man ❤❤❤
@phamngocthach,"nhìn khán giả nhiều ông bà đi coi hài mà mặt đơ nghiêm túc vl, cười đi mn"
@hopthucuaha,Ơ mình đã xem đoạn gội đầu trong set này của Nam ở đâu đó rồi thì phải! Mọi người có nhớ vậy ko? 🤔🤔🤔 Chắc Best Cuts phải ko nhỉ?
@haneul_305,Set này hay cực á. Cười điên =))))
@thinh8590,"lần đầu tiên ngồi cười xuyên suốt clip, set này quá hay"
@Datveloc19408,"set lần này của Nam có lẽ là nhẹ đô và ngắn gọn hơn so với các set trước nên mình xem chưa đã lắm, tuy nhiên vẫn rất ổn và hay"
@HuynhNhu-uv8td,Đúng là Nam tiếc mục nào cũng hay
@PHAMANN-k6p,ngữ điệu hơi giống anh Uy Lê nhỉ
@mminh2,"PN level cỡ Trấn Thành luôn nha, tui mê"
@huynhphuongthaoanh,"set này Nam comeback hoàn hảo vch =))) thoải mái, duyên deliver ổn, nhờ anh trai làm miếng sau đó có cảm ơn xin lỗi ảnh đàng hoàng lịch sự. Ngắn gọn LÀM 1H ĐI NAM ƠI 12 PHÚT KHÔNG ĐỦ"
